"games","gold","silver","bronze","event","gender","year","location","event_type","gold_athlete","silver_athlete","bronze_athlete","gold_country","silver_country","bronze_country"
"1976 Montreal","United States (USA)Harvey GlanceLam JonesMillard HamptonSteve Riddick","East Germany (GDR)Manfred KokotJörg PfeiferKlaus-Dieter KurratAlexander Thieme","Soviet Union (URS)Aleksandr AksininNikolay KolesnikovJuris SilovsValeriy Borzov","4 × 100 metres relay","men","1976","Montreal","Running"," (USA)Harvey GlanceLam JonesMillard HamptonSteve Riddick"," (GDR)Manfred KokotJörg PfeiferKlaus-Dieter KurratAlexander Thieme"," (URS)Aleksandr AksininNikolay KolesnikovJuris SilovsValeriy Borzov","United States","East Germany","Soviet Union"
"1980 Moscow","Soviet Union (URS)Vladimir MuravyovNikolay SidorovAleksandr AksininAndrey Prokofyev","Poland (POL)Krzysztof ZwolinskiZenon LicznerskiLeszek DuneckiMarian Woronin","France (FRA)Antoine RichardPascal BarréPatrick BarréHermann Panzo","4 × 100 metres relay","men","1980","Moscow","Running"," (URS)Vladimir MuravyovNikolay SidorovAleksandr AksininAndrey Prokofyev"," (POL)Krzysztof ZwolinskiZenon LicznerskiLeszek DuneckiMarian Woronin"," (FRA)Antoine RichardPascal BarréPatrick BarréHermann Panzo","Soviet Union","Poland","France"
"1984 Los Angeles","United States (USA)Sam GraddyRon BrownCalvin SmithCarl Lewis","Jamaica (JAM)Albert LawrenceGreg MeghooDon QuarrieRay Stewart","Canada (CAN)Ben JohnsonTony SharpeDesai WilliamsSterling Hinds","4 × 100 metres relay","men","1984","Los Angeles","Running"," (USA)Sam GraddyRon BrownCalvin SmithCarl Lewis"," (JAM)Albert LawrenceGreg MeghooDon QuarrieRay Stewart"," (CAN)Ben JohnsonTony SharpeDesai WilliamsSterling Hinds","United States","Jamaica","Canada"
"1988 Seoul","Soviet Union (URS)Viktor BryzhinVladimir KrylovVladimir MuravyovVitaliy Savin","Great Britain (GBR)Elliot BunneyJohn RegisMike McFarlaneLinford Christie","France (FRA)Bruno Marie-RoseDaniel SangoumaGilles QuenehervéMax Morinière","4 × 100 metres relay","men","1988","Seoul","Running"," (URS)Viktor BryzhinVladimir KrylovVladimir MuravyovVitaliy Savin"," (GBR)Elliot BunneyJohn RegisMike McFarlaneLinford Christie"," (FRA)Bruno Marie-RoseDaniel SangoumaGilles QuenehervéMax Morinière","Soviet Union","Great Britain","France"
"1992 Barcelona","United States (USA)Michael MarshLeroy BurrellDennis MitchellCarl LewisJames Jett*","Nigeria (NGR)Oluyemi KayodeChidi ImohOlapade AdenikenDavidson EzinwaOsmond Ezinwa*","Cuba (CUB)Andrés SimónJoel LamelaJoel IsasiJorge Aguilera","4 × 100 metres relay","men","1992","Barcelona","Running"," (USA)Michael MarshLeroy BurrellDennis MitchellCarl LewisJames Jett*"," (NGR)Oluyemi KayodeChidi ImohOlapade AdenikenDavidson EzinwaOsmond Ezinwa*"," (CUB)Andrés SimónJoel LamelaJoel IsasiJorge Aguilera","United States","Niger","Cuba"
"1996 Atlanta","Canada (CAN)Robert EsmieGlenroy GilbertBruny SurinDonovan BaileyCarlton Chambers*","United States (USA)Jon DrummondTim HardenMichael MarshDennis MitchellTim Montgomery*","Brazil (BRA)Arnaldo da SilvaRobson da SilvaEdson RibeiroAndré da Silva","4 × 100 metres relay","men","1996","Atlanta","Running"," (CAN)Robert EsmieGlenroy GilbertBruny SurinDonovan BaileyCarlton Chambers*"," (USA)Jon DrummondTim HardenMichael MarshDennis MitchellTim Montgomery*"," (BRA)Arnaldo da SilvaRobson da SilvaEdson RibeiroAndré da Silva","Canada","United States","Brazil"
"2000 Sydney","United States (USA)Jon DrummondBernard WilliamsBrian LewisMaurice GreeneTim Montgomery*Kenny Brokenburr*","Brazil (BRA)Vicente de LimaEdson RibeiroAndré da SilvaClaudinei da SilvaCláudio Souza","Cuba (CUB)José Ángel CésarLuis Alberto Pérez-RiondaIvan GarcíaFreddy Mayola","4 × 100 metres relay","men","2000","Sydney","Running"," (USA)Jon DrummondBernard WilliamsBrian LewisMaurice GreeneTim Montgomery*Kenny Brokenburr*"," (BRA)Vicente de LimaEdson RibeiroAndré da SilvaClaudinei da SilvaCláudio Souza"," (CUB)José Ángel CésarLuis Alberto Pérez-RiondaIvan GarcíaFreddy Mayola","United States","Brazil","Cuba"
"2004 Athens","Great Britain (GBR)Jason GardenerDarren CampbellMarlon DevonishMark Lewis-Francis","United States (USA)Shawn CrawfordJustin GatlinCoby MillerMaurice GreeneDarvis Patton*","Nigeria (NGR)Olusoji FasubaUchenna EmedoluAaron EgbeleDeji Aliu","4 × 100 metres relay","men","2004","Athens","Running"," (GBR)Jason GardenerDarren CampbellMarlon DevonishMark Lewis-Francis"," (USA)Shawn CrawfordJustin GatlinCoby MillerMaurice GreeneDarvis Patton*"," (NGR)Olusoji FasubaUchenna EmedoluAaron EgbeleDeji Aliu","Great Britain","United States","Niger"
"2008 Beijing","Trinidad and Tobago (TRI)Keston BledmanMarc BurnsEmmanuel CallenderRichard ThompsonAaron Armstrong*","Japan (JPN)Naoki TsukaharaShingo SuetsuguShinji TakahiraNobuharu Asahara","Brazil (BRA)Vicente LimaSandro VianaBruno de BarrosJose Carlos Moreira","4 × 100 metres relay","men","2008","Beijing","Running"," (TRI)Keston BledmanMarc BurnsEmmanuel CallenderRichard ThompsonAaron Armstrong*"," (JPN)Naoki TsukaharaShingo SuetsuguShinji TakahiraNobuharu Asahara"," (BRA)Vicente LimaSandro VianaBruno de BarrosJose Carlos Moreira","Trinidad and Tobago","Japan","Brazil"
"2012 London","Jamaica (JAM)Nesta CarterMichael FraterYohan BlakeUsain BoltKemar Bailey-Cole*","Trinidad and Tobago (TRI)Richard ThompsonMarc BurnsEmmanuel CallenderKeston Bledman","France (FRA)Jimmy VicautChristophe LemaitrePierre-Alexis PessonneauxRonald Pognon","4 × 100 metres relay","men","2012","London","Running"," (JAM)Nesta CarterMichael FraterYohan BlakeUsain BoltKemar Bailey-Cole*"," (TRI)Richard ThompsonMarc BurnsEmmanuel CallenderKeston Bledman"," (FRA)Jimmy VicautChristophe LemaitrePierre-Alexis PessonneauxRonald Pognon","Jamaica","Trinidad and Tobago","France"
"2016 Rio de Janeiro","Jamaica (JAM)Asafa PowellYohan BlakeNickel AshmeadeUsain BoltJevaughn Minzie*Kemar Bailey-Cole*","Japan (JPN)Ryota YamagataShota IizukaYoshihide KiryuAsuka Cambridge","Canada (CAN)Akeem HaynesAaron BrownBrendon RodneyAndre De GrasseMobolade Ajomale*","4 × 100 metres relay","men","2016","Rio de Janeiro","Running"," (JAM)Asafa PowellYohan BlakeNickel AshmeadeUsain BoltJevaughn Minzie*Kemar Bailey-Cole*"," (JPN)Ryota YamagataShota IizukaYoshihide KiryuAsuka Cambridge"," (CAN)Akeem HaynesAaron BrownBrendon RodneyAndre De GrasseMobolade Ajomale*","Jamaica","Japan","Canada"
"1912 Stockholm","United States (USA)Mel SheppardEdward LindbergTed MeredithCharles Reidpath","France (FRA)Charles LelongRobert SchurrerPierre FailliotCharles Poulenard","Great Britain (GBR)George NicolErnest HenleyJames SoutterCyril Seedhouse","4 × 400 metres relay","men","1912","Stockholm","Running"," (USA)Mel SheppardEdward LindbergTed MeredithCharles Reidpath"," (FRA)Charles LelongRobert SchurrerPierre FailliotCharles Poulenard"," (GBR)George NicolErnest HenleyJames SoutterCyril Seedhouse","United States","France","Great Britain"
"1920 Antwerp","Great Britain (GBR)Cecil GriffithsRobert LindsayJohn Ainsworth-DavisGuy Butler","South Africa (RSA)Henry DafelClarence OldfieldJack OosterlaakBevil Rudd","France (FRA)Géo AndréGaston FéryMaurice DelvartAndré Devaux","4 × 400 metres relay","men","1920","Antwerp","Running"," (GBR)Cecil GriffithsRobert LindsayJohn Ainsworth-DavisGuy Butler"," (RSA)Henry DafelClarence OldfieldJack OosterlaakBevil Rudd"," (FRA)Géo AndréGaston FéryMaurice DelvartAndré Devaux","Great Britain","South Africa","France"
"1924 Paris","United States (USA)Commodore CochranAlan HelffrichOliver MacDonaldWilliam Stevenson","Sweden (SWE)Artur SvenssonErik ByléhnGustaf WejnarthNils Engdahl","Great Britain (GBR)Edward TomsGeorge RenwickRichard RipleyGuy Butler","4 × 400 metres relay","men","1924","Paris","Running"," (USA)Commodore CochranAlan HelffrichOliver MacDonaldWilliam Stevenson"," (SWE)Artur SvenssonErik ByléhnGustaf WejnarthNils Engdahl"," (GBR)Edward TomsGeorge RenwickRichard RipleyGuy Butler","United States","Sweden","Great Britain"
"1928 Amsterdam","United States (USA)George BairdEmerson SpencerFred AldermanRay Barbuti","Germany (GER)Otto NeumannHarry Werner StorzRichard KrebsHermann Engelhard","Canada (CAN)Alex WilsonPhil EdwardsStanley GloverJames Ball","4 × 400 metres relay","men","1928","Amsterdam","Running"," (USA)George BairdEmerson SpencerFred AldermanRay Barbuti"," (GER)Otto NeumannHarry Werner StorzRichard KrebsHermann Engelhard"," (CAN)Alex WilsonPhil EdwardsStanley GloverJames Ball","United States","Germany","Canada"
"1932 Los Angeles","United States (USA)Ivan FuquaEd AblowichKarl WarnerBill Carr","Great Britain (GBR)Crew StoneleyTommy HampsonDavid BurghleyGodfrey Rampling","Canada (CAN)Ray LewisJames BallPhil EdwardsAlex Wilson","4 × 400 metres relay","men","1932","Los Angeles","Running"," (USA)Ivan FuquaEd AblowichKarl WarnerBill Carr"," (GBR)Crew StoneleyTommy HampsonDavid BurghleyGodfrey Rampling"," (CAN)Ray LewisJames BallPhil EdwardsAlex Wilson","United States","Great Britain","Canada"
"1936 Berlin","Great Britain (GBR)Freddie WolffGodfrey RamplingBill RobertsGodfrey Brown","United States (USA)Harold CagleRobert YoungEdward O’BrienAl Fitch","Germany (GER)Helmut HamannFriedrich von StülpnagelHarry VoigtRudolf Harbig","4 × 400 metres relay","men","1936","Berlin","Running"," (GBR)Freddie WolffGodfrey RamplingBill RobertsGodfrey Brown"," (USA)Harold CagleRobert YoungEdward O’BrienAl Fitch"," (GER)Helmut HamannFriedrich von StülpnagelHarry VoigtRudolf Harbig","Great Britain","United States","Germany"
"1948 London","United States (USA)Arthur HarndenCliff BourlandRoy CochranMal Whitfield","France (FRA)Jean KerebelFrancis SchewettaRobert Chef d'HôtelJacques Lunis","Sweden (SWE)Kurt LundquistLars-Erik WolfbrandtFolke AlnevikRune Larsson","4 × 400 metres relay","men","1948","London","Running"," (USA)Arthur HarndenCliff BourlandRoy CochranMal Whitfield"," (FRA)Jean KerebelFrancis SchewettaRobert Chef d'HôtelJacques Lunis"," (SWE)Kurt LundquistLars-Erik WolfbrandtFolke AlnevikRune Larsson","United States","France","Sweden"
"1952 Helsinki","Jamaica (JAM)Arthur WintLeslie LaingHerb McKenleyGeorge Rhoden","United States (USA)Ollie MatsonGene ColeCharles MooreMal Whitfield","Germany (GER)Hans GeisterGünther SteinesHeinz UlzheimerKarl-Friedrich Haas","4 × 400 metres relay","men","1952","Helsinki","Running"," (JAM)Arthur WintLeslie LaingHerb McKenleyGeorge Rhoden"," (USA)Ollie MatsonGene ColeCharles MooreMal Whitfield"," (GER)Hans GeisterGünther SteinesHeinz UlzheimerKarl-Friedrich Haas","Jamaica","United States","Germany"
"1956 Melbourne","United States (USA)Charles JenkinsLou JonesJesse MashburnTom Courtney","Australia (AUS)Graham GipsonLeon GregoryDavid LeanKevan Gosper","Great Britain (GBR)Peter HigginsMichael WheelerJohn SalisburyDerek Johnson","4 × 400 metres relay","men","1956","Melbourne","Running"," (USA)Charles JenkinsLou JonesJesse MashburnTom Courtney"," (AUS)Graham GipsonLeon GregoryDavid LeanKevan Gosper"," (GBR)Peter HigginsMichael WheelerJohn SalisburyDerek Johnson","United States","Australia","Great Britain"
"1960 Rome","United States (USA)Jack YermanEarl YoungGlenn DavisOtis Davis","United Team of Germany (EUA)Hans-Joachim ReskeManfred KinderJohannes KaiserCarl Kaufmann","British West Indies (BWI)Malcolm SpenceJim WedderburnKeith GardnerGeorge Kerr","4 × 400 metres relay","men","1960","Rome","Running"," (USA)Jack YermanEarl YoungGlenn DavisOtis Davis"," (EUA)Hans-Joachim ReskeManfred KinderJohannes KaiserCarl Kaufmann","British West Indies (BWI)Malcolm SpenceJim WedderburnKeith GardnerGeorge Kerr","United States","United Team of Germany",NA
"1964 Tokyo","United States (USA)Ollan CassellMike LarrabeeUlis WilliamsHenry Carr","Great Britain (GBR)Tim GrahamAdrian MetcalfeJohn CooperRobbie Brightwell","Trinidad and Tobago (TRI)Edwin SkinnerKent BernardEdwin RobertsWendell Mottley","4 × 400 metres relay","men","1964","Tokyo","Running"," (USA)Ollan CassellMike LarrabeeUlis WilliamsHenry Carr"," (GBR)Tim GrahamAdrian MetcalfeJohn CooperRobbie Brightwell"," (TRI)Edwin SkinnerKent BernardEdwin RobertsWendell Mottley","United States","Great Britain","Trinidad and Tobago"
"1968 Mexico City","United States (USA)Vincent MatthewsRon FreemanLarry JamesLee Evans","Kenya (KEN)Daniel RudishaMunyoro NyamauNaftali BonCharles Asati","West Germany (FRG)Helmar MüllerManfred KinderGerhard HennigeMartin Jellinghaus","4 × 400 metres relay","men","1968","Mexico City","Running"," (USA)Vincent MatthewsRon FreemanLarry JamesLee Evans"," (KEN)Daniel RudishaMunyoro NyamauNaftali BonCharles Asati"," (FRG)Helmar MüllerManfred KinderGerhard HennigeMartin Jellinghaus","United States","Kenya","West Germany"
"1972 Munich","Kenya (KEN)Charles AsatiMunyoro NyamauRobert OukoJulius Sang","Great Britain (GBR)Martin ReynoldsAlan PascoeDavid HemeryDavid Jenkins","France (FRA)Gilles BertouldDaniel VelasquesFrancis KerbiriouJacques Carette","4 × 400 metres relay","men","1972","Munich","Running"," (KEN)Charles AsatiMunyoro NyamauRobert OukoJulius Sang"," (GBR)Martin ReynoldsAlan PascoeDavid HemeryDavid Jenkins"," (FRA)Gilles BertouldDaniel VelasquesFrancis KerbiriouJacques Carette","Kenya","Great Britain","France"
"1976 Montreal","United States (USA)Herman FrazierBenny BrownFred NewhouseMaxie Parks","Poland (POL)Ryszard PodlasJan WernerZbigniew JaremskiJerzy Pietrzyk","West Germany (FRG)Franz-Peter HofmeisterLothar KriegHarald SchmidBernd Herrmann","4 × 400 metres relay","men","1976","Montreal","Running"," (USA)Herman FrazierBenny BrownFred NewhouseMaxie Parks"," (POL)Ryszard PodlasJan WernerZbigniew JaremskiJerzy Pietrzyk"," (FRG)Franz-Peter HofmeisterLothar KriegHarald SchmidBernd Herrmann","United States","Poland","West Germany"
"1980 Moscow","Soviet Union (URS)Remigijus ValiulisMikhail LingeNikolay ChernetskiyViktor Markin","East Germany (GDR)Klaus ThieleAndreas KnebelFrank SchafferVolker Beck","Italy (ITA)Stefano MalinverniMauro ZulianiRoberto TozziPietro Mennea","4 × 400 metres relay","men","1980","Moscow","Running"," (URS)Remigijus ValiulisMikhail LingeNikolay ChernetskiyViktor Markin"," (GDR)Klaus ThieleAndreas KnebelFrank SchafferVolker Beck"," (ITA)Stefano nverniMauro ZulianiRoberto TozziPietro Mennea","Soviet Union","East Germany","Italy"
"1984 Los Angeles","United States (USA)Sunder NixRay ArmsteadAlonzo BabersAntonio McKay","Great Britain (GBR)Kriss AkabusiGarry CookTodd BennettPhil Brown","Nigeria (NGR)Sunday UtiMoses UgbusienRotimi PetersInnocent Egbunike","4 × 400 metres relay","men","1984","Los Angeles","Running"," (USA)Sunder NixRay ArmsteadAlonzo BabersAntonio McKay"," (GBR)Kriss AkabusiGarry CookTodd BennettPhil Brown"," (NGR)Sunday UtiMoses UgbusienRotimi PetersInnocent Egbunike","United States","Great Britain","Niger"
"1988 Seoul","United States (USA)Danny EverettSteve LewisKevin RobinzineButch Reynolds","Jamaica (JAM)Howard DavisDevon MorrisWinthrop GrahamBert Cameron","West Germany (FRG)Norbert DobeleitEdgar IttJörg VaihingerRalf Lübke","4 × 400 metres relay","men","1988","Seoul","Running"," (USA)Danny EverettSteve LewisKevin RobinzineButch Reynolds"," (JAM)Howard DavisDevon MorrisWinthrop GrahamBert Cameron"," (FRG)Norbert DobeleitEdgar IttJörg VaihingerRalf Lübke","United States","Jamaica","West Germany"
"1992 Barcelona","United States (USA)Andrew ValmonQuincy WattsMichael JohnsonSteve LewisDarnell HallCharles Jenkins","Cuba (CUB)Lázaro MartínezHéctor HerreraNorberto TéllezRoberto Hernández","Great Britain (GBR)Roger BlackDavid GrindleyKriss AkabusiJohn RegisDu'aine LadejoMark Richardson","4 × 400 metres relay","men","1992","Barcelona","Running"," (USA)Andrew ValmonQuincy WattsMichael JohnsonSteve LewisDarnell HallCharles Jenkins"," (CUB)Lázaro MartínezHéctor HerreraNorberto TéllezRoberto Hernández"," (GBR)Roger BlackDavid GrindleyKriss AkabusiJohn RegisDu'aine LadejoMark Richardson","United States","Cuba","Great Britain"
