"year","level","path","distance","value","event","event_type","games","gold","silver","bronze","gender","location","gold_athlete","silver_athlete","bronze_athlete","gold_country","silver_country","bronze_country"
1928,8,362,10,0.0125,"200 metres","Running","1928 Amsterdam","Percy Williams Canada","Walter Rangeley Great Britain","Helmut Körnig Germany","men","Amsterdam","Percy Williams ","Walter Rangeley ","Helmut Körnig ","Canada","Great Britain","Germany"
1932,9,1,10,0.0125,"110 metres hurdles","Running","1932 Los Angeles","George Saling United States","Percy Beard United States","Don Finlay Great Britain","men","Los Angeles","George Saling ","Percy Beard ","Don Finlay ","United States","United States","Great Britain"
1932,9,362,11,0.0125,"100 metres hurdles","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936,10,1,11,0.0125,"100 metres","Running","1936 Berlin","Helen Stephens United States","Stanislawa Walasiewicz Poland","Käthe Krauß Germany","women","Berlin","Helen Stephens ","Stanislawa Walasiewicz ","Käthe Krauß ","United States","Poland","Germany"
1936,10,1,11,0.0125,"100 metres","Running","1936 Berlin","Jesse Owens United States","Ralph Metcalfe United States","Tinus Osendarp Netherlands","men","Berlin","Jesse Owens ","Ralph Metcalfe ","Tinus Osendarp ","United States","United States","Netherlands"
1936,10,362,12,0.0125,"80 metres hurdles","Running","1936 Berlin","Ondina Valla Italy","Anni Steuer Germany","Elizabeth Taylor Canada","women","Berlin","Ondina Valla ","Anni Steuer ","Elizabeth Taylor ","Italy","Germany","Canada"
1948,11,1,12,0.0125,"60 metres","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948,11,362,13,0.0125,"50 kilometres race walk","Walking","1948 London","John Ljunggren Sweden","Gaston Godel Switzerland","Tebbs Lloyd Johnson Great Britain","men","London","John Ljunggren ","Gaston Godel ","Tebbs Lloyd Johnson ","Sweden","Switzerland","Great Britain"
1952,12,1,13,0.0125,"20 kilometres race walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,12,362,14,0.0125,"10,000 metres","Running","1952 Helsinki","Emil Zátopek Czechoslovakia","Alain Mimoun France","Aleksandr Anufriyev Soviet Union","men","Helsinki","Emil Zátopek ","Alain Mimoun ","Aleksandr Anufriyev ","Czechoslovakia","France","Soviet Union"
1956,13,1,14,0.0125,"10 miles walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,13,362,15,0.0125,"10 kilometres walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,14,1,15,0.0125,"10 kilometers race walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,14,362,16,0.0125,"5 miles","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,15,1,16,0.0125,"4-mile team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,15,362,17,0.0125,"4 × 400 metres relay","Running","1964 Tokyo","United States (USA)Ollan CassellMike LarrabeeUlis WilliamsHenry Carr","Great Britain (GBR)Tim GrahamAdrian MetcalfeJohn CooperRobbie Brightwell","Trinidad and Tobago (TRI)Edwin SkinnerKent BernardEdwin RobertsWendell Mottley","men","Tokyo"," (USA)Ollan CassellMike LarrabeeUlis WilliamsHenry Carr"," (GBR)Tim GrahamAdrian MetcalfeJohn CooperRobbie Brightwell"," (TRI)Edwin SkinnerKent BernardEdwin RobertsWendell Mottley","United States","Great Britain","Trinidad and Tobago"
1968,16,1,17,0.0125,"4 × 100 metres relay","Running","1968 Mexico City","United States (USA)Barbara FerrellMargaret BailesMildrette NetterWyomia Tyus","Cuba (CUB)Marlene ElejardeFulgencia RomayVioletta QuesadaMiguelina Cobián","Soviet Union (URS)Lyudmila ZharkovaGalina BukharinaVera PopkovaLyudmila Samotyosova","women","Mexico City"," (USA)Barbara FerrellMargaret BailesMildrette NetterWyomia Tyus"," (CUB)Marlene ElejardeFulgencia RomayVioletta QuesadaMiguelina Cobián"," (URS)Lyudmila ZharkovaGalina BukharinaVera PopkovaLyudmila Samotyosova","United States","Cuba","Soviet Union"
1968,16,1,17,0.0125,"4 × 100 metres relay","Running","1968 Mexico City","United States (USA)Charles GreeneMel PenderRonnie Ray SmithJim Hines","Cuba (CUB)Hermes RamírezJuan MoralesPablo MontesEnrique Figuerola","France (FRA)Gérard FenouilJocelyn DelecourClaude PiquemalRoger Bambuck","men","Mexico City"," (USA)Charles GreeneMel PenderRonnie Ray SmithJim Hines"," (CUB)Hermes RamírezJuan MoralesPablo MontesEnrique Figuerola"," (FRA)Gérard FenouilJocelyn DelecourClaude PiquemalRoger Bambuck","United States","Cuba","France"
1968,16,362,18,0.0125,"3-mile team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,17,1,18,0.0125,"Weight throw","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,17,362,19,0.0125,"Triple jump","Jumping","1972 Munich","Viktor Saneyev Soviet Union","Jörg Drehmel East Germany","Nelson Prudencio Brazil","men","Munich","Viktor Saneyev ","Jörg Drehmel ","Nelson Prudencio ","Soviet Union","East Germany","Brazil"
1976,18,1,19,0.0125,"Triathlon","Multisport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,18,362,20,0.0125,"Standing triple jump","Jumping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,19,1,20,0.0125,"Standing long jump","Jumping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,19,362,21,0.0125,"Standing high jump","Jumping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,20,1,21,0.0125,"Shot put (two-handed)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,20,362,22,0.0125,"Shot put","Throwing","1984 Los Angeles","Claudia Losch West Germany","Mihaela Loghin Romania","Gael Martin Australia","women","Los Angeles","Claudia Losch ","Mihaela Loghin ","Gael Martin ","West Germany","Romania","Australia"
1984,20,362,22,0.0125,"Shot put","Throwing","1984 Los Angeles","Alessandro Andrei Italy","Mike Carter United States","Dave Laut United States","men","Los Angeles","Alessandro Andrei ","Mike Carter ","Dave Laut ","Italy","United States","United States"
1988,21,1,22,0.0125,"Pole vault","Jumping","1988 Seoul","Sergey Bubka Soviet Union","Radion Gataullin Soviet Union","Grigoriy Yegorov Soviet Union","men","Seoul","Sergey Bubka ","Radion Gataullin ","Grigoriy Yegorov ","Soviet Union","Soviet Union","Soviet Union"
1988,21,362,23,0.0125,"Pentathlon","Multisport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,22,1,23,0.0125,"Marathon","Running","1992 Barcelona","Valentina Yegorova Unified Team","Yuko Arimori Japan","Lorraine Moller New Zealand","women","Barcelona","Valentina Yegorova ","Yuko Arimori ","Lorraine Moller ","Unified Team","Japan","New Zealand"
1992,22,1,23,0.0125,"Marathon","Running","1992 Barcelona","Hwang Young-cho South Korea","Koichi Morishita Japan","Stephan Freigang Germany","men","Barcelona","Hwang Young-cho ","Koichi Morishita ","Stephan Freigang ","South Korea","Japan","Germany"
1992,22,362,24,0.0125,"Long jump","Jumping","1992 Barcelona","Heike Drechsler Germany","Inessa Kravets Unified Team","Jackie Joyner-Kersee United States","women","Barcelona","Heike Drechsler ","Inessa Kravets ","Jackie Joyner-Kersee ","Germany","Unified Team","United States"
1992,22,362,24,0.0125,"Long jump","Jumping","1992 Barcelona","Carl Lewis United States","Mike Powell United States","Joe Greene United States","men","Barcelona","Carl Lewis ","Mike Powell ","Joe Greene ","United States","United States","United States"
1996,23,1,24,0.0125,"Javelin throw (two-handed)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,23,362,25,0.0125,"Javelin throw (freestyle)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,24,1,25,0.0125,"Javelin throw","Throwing","2000 Sydney","Trine Hattestad Norway","Mirela Maniani-Tzelili Greece","Osleidys Menéndez Cuba","women","Sydney","Trine Hattestad ","Mirela Maniani-Tzelili ","Osleidys Menéndez ","Norway","Greece","Cuba"
2000,24,1,25,0.0125,"Javelin throw","Throwing","2000 Sydney","Jan Železný Czech Republic","Steve Backley Great Britain","Sergey Makarov Russia","men","Sydney","Jan Železný ","Steve Backley ","Sergey Makarov ","Czech Republic","Great Britain","Russia"
2000,24,362,26,0.0125,"High jump","Jumping","2000 Sydney","Yelena Yelesina Russia","Hestrie Cloete South Africa","Kajsa Bergqvist Sweden & Oana Pantelimon Romania","women","Sydney","Yelena Yelesina ","Hestrie Cloete ","Kajsa Bergqvist  & Oana Pantelimon ","Russia","South Africa","Sweden"
2000,24,362,26,0.0125,"High jump","Jumping","2000 Sydney","Sergey Klyugin Russia","Javier Sotomayor Cuba","Abderahmane Hammad Algeria","men","Sydney","Sergey Klyugin ","Javier Sotomayor ","Abderahmane Hammad ","Russia","Cuba","Algeria"
2004,25,1,26,0.0125,"Heptathlon","Multisport","2004 Athens","Carolina Klüft Sweden","Austra Skujyte Lithuania","Kelly Sotherton Great Britain","women","Athens","Carolina Klüft ","Austra Skujyte ","Kelly Sotherton ","Sweden","Lithuania","Great Britain"
2004,25,362,27,0.0125,"Hammer throw","Throwing","2004 Athens","Olga Kuzenkova Russia","Yipsi Moreno Cuba","Yunaika Crawford Cuba","women","Athens","Olga Kuzenkova ","Yipsi Moreno ","Yunaika Crawford ","Russia","Cuba","Cuba"
2004,25,362,27,0.0125,"Hammer throw","Throwing","2004 Athens","Koji Murofushi Japan","Not awarded[4]","Esref Apak Turkey","men","Athens","Koji Murofushi ","Not awarded[4]","Esref Apak ","Japan",NA,"Turkey"
2008,26,1,27,0.0125,"Discus throw (two-handed)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,26,362,28,0.0125,"Discus throw (Greek style)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,27,1,28,0.0125,"Discus throw","Throwing","2012 London","Sandra Perkovic Croatia","Li Yanfeng China","Yarelys Barrios Cuba","women","London","Sandra Perkovic ","Li Yanfeng ","Yarelys Barrios ","Croatia","China","Cuba"
2012,27,1,28,0.0125,"Discus throw","Throwing","2012 London","Robert Harting Germany","Ehsan Haddadi Iran","Gerd Kanter Estonia","men","London","Robert Harting ","Ehsan Haddadi ","Gerd Kanter ","Germany","Iran","Estonia"
2012,27,362,29,0.0125,"Decathlon","Multisport","2012 London","Ashton Eaton United States","Trey Hardee United States","Leonel Suárez Cuba","men","London","Ashton Eaton ","Trey Hardee ","Leonel Suárez ","United States","United States","Cuba"
2016,28,1,29,0.0125,"Cross country (team)","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,28,362,30,0.0125,"Cross country (individual)","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1896,1,1,2,0.0125,"5000 metres team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1896,1,362,3,0.0125,"5000 metres","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1900,2,1,3,0.0125,"4000 metres steeplechase","Running","1900 Paris","John Rimmer Great Britain","Charles Bennett Great Britain","Sidney Robinson Great Britain","men","Paris","John Rimmer ","Charles Bennett ","Sidney Robinson ","Great Britain","Great Britain","Great Britain"
1900,2,362,4,0.0125,"3500 metres walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1904,3,1,4,0.0125,"3200 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1904,3,362,5,0.0125,"3000 metres walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1908,4,1,5,0.0125,"3000 metres team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1908,4,362,6,0.0125,"3000 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1912,5,1,6,0.0125,"3000 metres","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1912,5,362,7,0.0125,"2590 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,6,1,7,0.0125,"2500 metres steeplechase","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,6,362,8,0.0125,"1600 metres relay","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924,7,1,8,0.0125,"1500 metres","Running","1924 Paris","Paavo Nurmi Finland","Willy Schärer Switzerland","H. B. Stallard Great Britain","men","Paris","Paavo Nurmi ","Willy Schärer ","H. B. Stallard ","Finland","Switzerland","Great Britain"
1924,7,362,9,0.0125,"800 metres","Running","1924 Paris","Douglas Lowe Great Britain","Paul Martin Switzerland","Schuyler Enck United States","men","Paris","Douglas Lowe ","Paul Martin ","Schuyler Enck ","Great Britain","Switzerland","United States"
1928,8,1,9,0.0125,"400 metres hurdles","Running","1928 Amsterdam","David Burghley Great Britain","Frank Cuhel United States","Morgan Taylor United States","men","Amsterdam","David Burghley ","Frank Cuhel ","Morgan Taylor ","Great Britain","United States","United States"
1928,8,362,10,0.0125,"400 metres","Running","1928 Amsterdam","Ray Barbuti United States","James Ball Canada","Joachim Büchner Germany","men","Amsterdam","Ray Barbuti ","James Ball ","Joachim Büchner ","United States","Canada","Germany"
1932,9,1,10,0.0125,"200 metres hurdles","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932,9,362,11,0.0125,"200 metres","Running","1932 Los Angeles","Eddie Tolan United States","George Simpson United States","Ralph Metcalfe United States","men","Los Angeles","Eddie Tolan ","George Simpson ","Ralph Metcalfe ","United States","United States","United States"
1936,10,1,11,0.0125,"110 metres hurdles","Running","1936 Berlin","Forrest Towns United States","Don Finlay Great Britain","Fritz Pollard United States","men","Berlin","Forrest Towns ","Don Finlay ","Fritz Pollard ","United States","Great Britain","United States"
1936,10,362,12,0.0125,"100 metres hurdles","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948,11,1,12,0.0125,"100 metres","Running","1948 London","Fanny Blankers-Koen Netherlands","Dorothy Manley Great Britain","Shirley Strickland Australia","women","London","Fanny Blankers-Koen ","Dorothy Manley ","Shirley Strickland ","Netherlands","Great Britain","Australia"
1948,11,1,12,0.0125,"100 metres","Running","1948 London","Harrison Dillard United States","Barney Ewell United States","Lloyd LaBeach Panama","men","London","Harrison Dillard ","Barney Ewell ","Lloyd LaBeach ","United States","United States","Panama"
1948,11,362,13,0.0125,"80 metres hurdles","Running","1948 London","Fanny Blankers-Koen Netherlands","Maureen Gardner Great Britain","Shirley Strickland Australia","women","London","Fanny Blankers-Koen ","Maureen Gardner ","Shirley Strickland ","Netherlands","Great Britain","Australia"
1952,12,1,13,0.0125,"60 metres","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,12,362,14,0.0125,"50 kilometres race walk","Walking","1952 Helsinki","Pino Dordoni Italy","Josef Doležal Czechoslovakia","Antal Róka Hungary","men","Helsinki","Pino Dordoni ","Josef Doležal ","Antal Róka ","Italy","Czechoslovakia","Hungary"
1956,13,1,14,0.0125,"20 kilometres race walk","Walking","1956 Melbourne","Leonid Spirin Soviet Union","Antanas Mikenas Soviet Union","Bruno Junk Soviet Union","men","Melbourne","Leonid Spirin ","Antanas Mikenas ","Bruno Junk ","Soviet Union","Soviet Union","Soviet Union"
1956,13,362,15,0.0125,"10,000 metres","Running","1956 Melbourne","Vladimir Kuts Soviet Union","József Kovács Hungary","Al Lawrence Australia","men","Melbourne","Vladimir Kuts ","József Kovács ","Al Lawrence ","Soviet Union","Hungary","Australia"
1960,14,1,15,0.0125,"10 miles walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,14,362,16,0.0125,"10 kilometres walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,15,1,16,0.0125,"10 kilometers race walk","Walking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,15,362,17,0.0125,"5 miles","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,16,1,17,0.0125,"4-mile team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,16,362,18,0.0125,"4 × 400 metres relay","Running","1968 Mexico City","United States (USA)Vincent MatthewsRon FreemanLarry JamesLee Evans","Kenya (KEN)Daniel RudishaMunyoro NyamauNaftali BonCharles Asati","West Germany (FRG)Helmar MüllerManfred KinderGerhard HennigeMartin Jellinghaus","men","Mexico City"," (USA)Vincent MatthewsRon FreemanLarry JamesLee Evans"," (KEN)Daniel RudishaMunyoro NyamauNaftali BonCharles Asati"," (FRG)Helmar MüllerManfred KinderGerhard HennigeMartin Jellinghaus","United States","Kenya","West Germany"
1972,17,1,18,0.0125,"4 × 100 metres relay","Running","1972 Munich","West Germany (FRG)Christiane KrauseIngrid Mickler-BeckerAnnegret RichterHeide Rosendahl","East Germany (GDR)Evelin KauferChristina HeinichBärbel StruppertRenate Stecher","Cuba (CUB)Marlene ElejardeCarmen ValdésFulgencia RomaySilvia Chivás","women","Munich"," (FRG)Christiane KrauseIngrid Mickler-BeckerAnnegret RichterHeide Rosendahl"," (GDR)Evelin KauferChristina HeinichBärbel StruppertRenate Stecher"," (CUB)Marlene ElejardeCarmen ValdésFulgencia RomaySilvia Chivás","West Germany","East Germany","Cuba"
1972,17,1,18,0.0125,"4 × 100 metres relay","Running","1972 Munich","United States (USA)Larry BlackRobert TaylorGerald TinkerEddie Hart","Soviet Union (URS)Aleksandr KornelyukVladimir LovetskiyJuris SilovsValeriy Borzov","West Germany (FRG)Jobst HirschtKarlheinz KlotzGerhard WuchererKlaus Ehl","men","Munich"," (USA)Larry BlackRobert TaylorGerald TinkerEddie Hart"," (URS)Aleksandr KornelyukVladimir LovetskiyJuris SilovsValeriy Borzov"," (FRG)Jobst HirschtKarlheinz KlotzGerhard WuchererKlaus Ehl","United States","Soviet Union","West Germany"
1972,17,362,19,0.0125,"3-mile team race","Running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,18,1,19,0.0125,"Weight throw","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,18,362,20,0.0125,"Triple jump","Jumping","1976 Montreal","Viktor Saneyev Soviet Union","James Butts United States","João Carlos de Oliveira Brazil","men","Montreal","Viktor Saneyev ","James Butts ","João Carlos de Oliveira ","Soviet Union","United States","Brazil"
1980,19,1,20,0.0125,"Triathlon","Multisport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,19,362,21,0.0125,"Standing triple jump","Jumping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,20,1,21,0.0125,"Standing long jump","Jumping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,20,362,22,0.0125,"Standing high jump","Jumping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,21,1,22,0.0125,"Shot put (two-handed)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,21,362,23,0.0125,"Shot put","Throwing","1988 Seoul","Natalya Lisovskaya Soviet Union","Kathrin Neimke East Germany","Li Meisu China","women","Seoul","Natalya Lisovskaya ","Kathrin Neimke ","Li Meisu ","Soviet Union","East Germany","China"
1988,21,362,23,0.0125,"Shot put","Throwing","1988 Seoul","Ulf Timmermann East Germany","Randy Barnes United States","Werner Günthör Switzerland","men","Seoul","Ulf Timmermann ","Randy Barnes ","Werner Günthör ","East Germany","United States","Switzerland"
1992,22,1,23,0.0125,"Pole vault","Jumping","1992 Barcelona","Maksim Tarasov Unified Team","Igor Trandenkov Unified Team","Javier García Spain","men","Barcelona","Maksim Tarasov ","Igor Trandenkov ","Javier García ","Unified Team","Unified Team","Spain"
1992,22,362,24,0.0125,"Pentathlon","Multisport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,23,1,24,0.0125,"Marathon","Running","1996 Atlanta","Fatuma Roba Ethiopia","Valentina Yegorova Russia","Yuko Arimori Japan","women","Atlanta","Fatuma Roba ","Valentina Yegorova ","Yuko Arimori ","Ethiopia","Russia","Japan"
1996,23,1,24,0.0125,"Marathon","Running","1996 Atlanta","Josia Thugwane South Africa","Lee Bong-ju South Korea","Erick Wainaina Kenya","men","Atlanta","Josia Thugwane ","Lee Bong-ju ","Erick Wainaina ","South Africa","South Korea","Kenya"
1996,23,362,25,0.0125,"Long jump","Jumping","1996 Atlanta","Chioma Ajunwa Nigeria","Fiona May Italy","Jackie Joyner-Kersee United States","women","Atlanta","Chioma Ajunwa ","Fiona May ","Jackie Joyner-Kersee ","Niger","Italy","United States"
1996,23,362,25,0.0125,"Long jump","Jumping","1996 Atlanta","Carl Lewis United States","James Beckford Jamaica","Joe Greene United States","men","Atlanta","Carl Lewis ","James Beckford ","Joe Greene ","United States","Jamaica","United States"
2000,24,1,25,0.0125,"Javelin throw (two-handed)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,24,362,26,0.0125,"Javelin throw (freestyle)","Throwing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,25,1,26,0.0125,"Javelin throw","Throwing","2004 Athens","Osleidys Menéndez Cuba","Steffi Nerius Germany","Mirela Maniani Greece","women","Athens","Osleidys Menéndez ","Steffi Nerius ","Mirela Maniani ","Cuba","Germany","Greece"
